,u,i,ts
117,-1,352,2
118,-1,355,2
119,-1,363,2
120,-1,369,2
121,-1,382,2
122,-1,386,2
123,-1,387,2
124,-1,0,3
125,-1,24,3
126,-1,32,3
127,-1,34,3
128,-1,41,3
129,-1,42,3
130,-1,48,3
131,-1,51,3
132,-1,52,3
133,-1,55,3
134,-1,63,3
135,-1,69,3
136,-1,82,3
137,-1,85,3
138,-1,86,3
139,-1,87,3
140,-1,200,3
141,-1,224,3
142,-1,232,3
143,-1,234,3
144,-1,241,3
145,-1,242,3
146,-1,248,3
147,-1,251,3
148,-1,252,3
149,-1,255,3
150,-1,263,3
151,-1,269,3
152,-1,282,3
153,-1,285,3
154,-1,286,3
155,-1,287,3
156,-1,300,3
157,-1,324,3
158,-1,332,3
159,-1,334,3
160,-1,341,3
161,-1,342,3
162,-1,348,3
163,-1,351,3
164,-1,352,3
165,-1,355,3
166,-1,363,3
167,-1,369,3
168,-1,382,3
169,-1,385,3
170,-1,386,3
171,-1,387,3
172,-1,0,4
173,-1,24,4
174,-1,32,4
175,-1,34,4
176,-1,42,4
177,-1,48,4
178,-1,51,4
179,-1,52,4
180,-1,55,4
181,-1,63,4
182,-1,69,4
183,-1,82,4
184,-1,85,4
185,-1,86,4
186,-1,87,4
187,-1,100,4
188,-1,124,4
189,-1,134,4
190,-1,142,4
191,-1,148,4
192,-1,151,4
193,-1,152,4
194,-1,155,4
195,-1,163,4
196,-1,169,4
197,-1,182,4
198,-1,185,4
199,-1,186,4
200,-1,187,4
201,-1,0,5
202,-1,24,5
203,-1,32,5
204,-1,34,5
205,-1,41,5
206,-1,42,5
207,-1,46,5
208,-1,48,5
209,-1,51,5
210,-1,52,5
211,-1,55,5
212,-1,63,5
213,-1,69,5
214,-1,82,5
215,-1,85,5
216,-1,86,5
217,-1,87,5
218,-1,100,5
219,-1,124,5
220,-1,132,5
221,-1,134,5
222,-1,141,5
223,-1,142,5
224,-1,146,5
225,-1,148,5
226,-1,151,5
227,-1,152,5
228,-1,155,5
229,-1,163,5
230,-1,169,5
231,-1,182,5
232,-1,185,5
233,-1,186,5
234,-1,187,5
235,-1,200,5
236,-1,224,5
237,-1,232,5
238,-1,234,5
239,-1,241,5
240,-1,242,5
241,-1,246,5
242,-1,248,5
243,-1,251,5
244,-1,252,5
245,-1,255,5
246,-1,263,5
247,-1,269,5
248,-1,282,5
249,-1,285,5
250,-1,286,5
251,-1,287,5
252,-1,0,6
253,-1,24,6
254,-1,34,6
255,-1,41,6
256,-1,42,6
257,-1,48,6
258,-1,51,6
259,-1,52,6
260,-1,55,6
261,-1,63,6
262,-1,69,6
263,-1,82,6
264,-1,85,6
265,-1,86,6
266,-1,87,6
267,-1,100,6
268,-1,124,6
269,-1,134,6
270,-1,141,6
271,-1,142,6
272,-1,148,6
273,-1,151,6
274,-1,152,6
275,-1,155,6
276,-1,163,6
277,-1,169,6
278,-1,182,6
279,-1,185,6
280,-1,186,6
281,-1,187,6
282,-1,200,6
283,-1,224,6
284,-1,234,6
285,-1,241,6
286,-1,242,6
287,-1,248,6
288,-1,251,6
289,-1,252,6
290,-1,255,6
291,-1,263,6
292,-1,269,6
293,-1,271,6
294,-1,282,6
295,-1,285,6
296,-1,286,6
297,-1,287,6
298,-1,300,6
299,-1,324,6
300,-1,334,6
301,-1,341,6
302,-1,342,6
303,-1,348,6
304,-1,351,6
305,-1,352,6
306,-1,355,6
307,-1,363,6
308,-1,369,6
309,-1,382,6
310,-1,385,6
311,-1,386,6
312,-1,387,6
313,-1,0,7
314,-1,24,7
315,-1,32,7
316,-1,34,7
317,-1,41,7
318,-1,42,7
319,-1,51,7
320,-1,52,7
321,-1,55,7
322,-1,63,7
323,-1,69,7
324,-1,82,7
325,-1,85,7
326,-1,86,7
327,-1,87,7
328,-1,100,7
329,-1,124,7
330,-1,132,7
331,-1,134,7
332,-1,141,7
333,-1,142,7
334,-1,151,7
335,-1,152,7
336,-1,163,7
337,-1,169,7
338,-1,182,7
339,-1,185,7
340,-1,186,7
341,-1,187,7
342,-1,200,7
343,-1,224,7
344,-1,232,7
345,-1,234,7
346,-1,241,7
347,-1,242,7
348,-1,251,7
349,-1,252,7
350,-1,255,7
351,-1,263,7
352,-1,269,7
353,-1,282,7
354,-1,285,7
355,-1,286,7
356,-1,287,7
357,-1,300,7
358,-1,324,7
359,-1,332,7
360,-1,333,7
361,-1,334,7
362,-1,341,7
363,-1,342,7
364,-1,351,7
365,-1,352,7
366,-1,355,7
367,-1,363,7
368,-1,382,7
369,-1,385,7
370,-1,386,7
371,-1,387,7
372,-1,0,8
373,-1,32,8
374,-1,34,8
375,-1,41,8
376,-1,42,8
377,-1,48,8
378,-1,52,8
379,-1,55,8
380,-1,63,8
381,-1,82,8
382,-1,85,8
383,-1,86,8
384,-1,87,8
385,-1,100,8
386,-1,132,8
387,-1,134,8
388,-1,141,8
389,-1,142,8
390,-1,148,8
391,-1,152,8
392,-1,155,8
393,-1,163,8
394,-1,182,8
395,-1,185,8
396,-1,186,8
397,-1,187,8
398,-1,200,8
399,-1,225,8
400,-1,232,8
401,-1,234,8
402,-1,241,8
403,-1,242,8
404,-1,248,8
405,-1,252,8
406,-1,255,8
407,-1,263,8
408,-1,282,8
409,-1,285,8
410,-1,286,8
411,-1,300,8
412,-1,332,8
413,-1,334,8
414,-1,341,8
415,-1,342,8
416,-1,348,8
417,-1,352,8
418,-1,355,8
419,-1,359,8
420,-1,363,8
421,-1,382,8
422,-1,385,8
423,-1,386,8
424,-1,387,8
425,-1,0,9
426,-1,24,9
427,-1,32,9
428,-1,34,9
429,-1,41,9
430,-1,42,9
431,-1,48,9
432,-1,51,9
433,-1,52,9
434,-1,55,9
435,-1,63,9
436,-1,69,9
437,-1,82,9
438,-1,85,9
439,-1,86,9
440,-1,87,9
441,-1,300,9
442,-1,324,9
443,-1,332,9
444,-1,334,9
445,-1,341,9
446,-1,342,9
447,-1,348,9
448,-1,351,9
449,-1,352,9
450,-1,355,9
451,-1,363,9
452,-1,369,9
453,-1,382,9
454,-1,385,9
455,-1,386,9
456,-1,387,9
457,0,25,0
458,0,29,0
459,0,41,0
460,0,46,0
461,0,54,0
462,0,58,0
463,0,66,0
464,0,69,0
465,0,71,0
466,0,80,0
467,0,94,0
468,0,125,0
469,0,129,0
470,0,141,0
471,0,146,0
472,0,154,0
473,0,158,0
474,0,166,0
475,0,169,0
476,0,171,0
477,0,180,0
478,0,194,0
479,0,125,1
480,0,141,1
481,0,146,1
482,0,154,1
483,0,166,1
484,0,169,1
485,0,171,1
486,0,180,1
487,0,194,1
488,0,225,1
489,0,241,1
490,0,246,1
491,0,254,1
492,0,258,1
493,0,266,1
494,0,269,1
495,0,271,1
496,0,280,1
497,0,294,1
498,0,325,1
499,0,341,1
500,0,346,1
501,0,354,1
502,0,358,1
503,0,366,1
504,0,369,1
505,0,371,1
506,0,380,1
507,0,394,1
508,0,125,2
509,0,129,2
510,0,141,2
511,0,146,2
512,0,154,2
513,0,158,2
514,0,166,2
515,0,169,2
516,0,171,2
517,0,180,2
518,0,194,2
519,0,225,2
520,0,229,2
521,0,241,2
522,0,246,2
523,0,254,2
524,0,258,2
525,0,266,2
526,0,269,2
527,0,271,2
528,0,280,2
529,0,294,2
530,0,325,2
531,0,329,2
532,0,341,2
533,0,346,2
534,0,354,2
535,0,358,2
536,0,366,2
537,0,369,2
538,0,371,2
539,0,380,2
540,0,394,2
541,0,25,3
542,0,29,3
543,0,41,3
544,0,46,3
545,0,54,3
546,0,58,3
547,0,66,3
548,0,69,3
549,0,71,3
550,0,80,3
551,0,94,3
552,0,225,3
553,0,229,3
554,0,241,3
555,0,246,3
556,0,254,3
557,0,258,3
558,0,266,3
559,0,269,3
560,0,271,3
561,0,280,3
562,0,294,3
563,0,325,3
564,0,329,3
565,0,341,3
566,0,346,3
567,0,354,3
568,0,358,3
569,0,366,3
570,0,369,3
571,0,371,3
572,0,380,3
573,0,394,3
574,0,25,4
575,0,29,4
576,0,41,4
577,0,46,4
578,0,49,4
579,0,54,4
580,0,58,4
581,0,66,4
582,0,69,4
583,0,71,4
584,0,80,4
585,0,94,4
586,0,125,4
587,0,129,4
588,0,141,4
589,0,146,4
590,0,149,4
591,0,154,4
592,0,158,4
593,0,166,4
594,0,169,4
595,0,171,4
596,0,180,4
597,0,183,4
598,0,194,4
599,0,25,5
600,0,29,5
601,0,41,5
602,0,46,5
603,0,54,5
604,0,58,5
605,0,66,5
606,0,69,5
607,0,71,5
608,0,75,5
609,0,80,5
610,0,94,5
611,0,125,5
612,0,129,5
613,0,141,5
614,0,146,5
615,0,154,5
616,0,158,5
617,0,166,5
618,0,169,5
619,0,171,5
620,0,175,5
621,0,180,5
622,0,194,5
623,0,225,5
624,0,229,5
625,0,241,5
626,0,246,5
627,0,254,5
628,0,258,5
629,0,266,5
630,0,269,5
631,0,271,5
632,0,275,5
633,0,280,5
634,0,294,5
635,0,25,6
636,0,29,6
637,0,41,6
638,0,46,6
639,0,54,6
640,0,58,6
641,0,66,6
642,0,69,6
643,0,71,6
644,0,80,6
645,0,94,6
646,0,125,6
647,0,129,6
648,0,141,6
649,0,146,6
650,0,154,6
651,0,158,6
652,0,166,6
653,0,169,6
654,0,171,6
655,0,180,6
656,0,194,6
657,0,225,6
658,0,229,6
659,0,241,6
660,0,246,6
661,0,254,6
662,0,258,6
663,0,266,6
664,0,269,6
665,0,271,6
666,0,280,6
667,0,294,6
668,0,296,6
669,0,325,6
670,0,329,6
671,0,341,6
672,0,346,6
673,0,354,6
674,0,358,6
675,0,366,6
676,0,369,6
677,0,371,6
678,0,380,6
679,0,394,6
680,0,25,7
681,0,29,7
682,0,41,7
683,0,46,7
684,0,54,7
685,0,58,7
686,0,66,7
687,0,69,7
688,0,71,7
689,0,80,7
690,0,94,7
691,0,125,7
692,0,129,7
693,0,141,7
694,0,146,7
695,0,154,7
696,0,158,7
697,0,166,7
698,0,169,7
699,0,171,7
700,0,180,7
701,0,194,7
702,0,225,7
703,0,229,7
704,0,241,7
705,0,246,7
706,0,254,7
707,0,258,7
708,0,266,7
709,0,269,7
710,0,271,7
711,0,280,7
712,0,294,7
713,0,325,7
714,0,329,7
715,0,341,7
716,0,346,7
717,0,354,7
718,0,358,7
719,0,366,7
720,0,369,7
721,0,371,7
722,0,380,7
723,0,394,7
724,0,15,8
725,0,29,8
726,0,41,8
727,0,46,8
728,0,54,8
729,0,58,8
730,0,66,8
731,0,69,8
732,0,71,8
733,0,80,8
734,0,94,8
735,0,115,8
736,0,129,8
737,0,141,8
738,0,146,8
739,0,154,8
740,0,158,8
741,0,166,8
742,0,169,8
743,0,171,8
744,0,180,8
745,0,194,8
746,0,215,8
747,0,229,8
748,0,241,8
749,0,246,8
750,0,254,8
751,0,258,8
752,0,266,8
753,0,269,8
754,0,271,8
755,0,280,8
756,0,294,8
757,0,329,8
758,0,341,8
759,0,346,8
760,0,354,8
761,0,358,8
762,0,366,8
763,0,369,8
764,0,371,8
765,0,380,8
766,0,394,8
767,0,25,9
768,0,29,9
769,0,41,9
770,0,54,9
771,0,58,9
772,0,66,9
773,0,69,9
774,0,71,9
775,0,80,9
776,0,83,9
777,0,94,9
778,0,325,9
779,0,329,9
780,0,341,9
781,0,354,9
782,0,358,9
783,0,366,9
784,0,369,9
785,0,371,9
786,0,380,9
787,0,383,9
788,0,394,9
789,1,-1,0
790,1,15,0
791,1,17,0
792,1,26,0
793,1,47,0
794,1,49,0
795,1,66,0
796,1,69,0
797,1,81,0
798,1,82,0
799,1,95,0
800,1,99,0
801,1,115,0
802,1,117,0
803,1,126,0
804,1,147,0
805,1,149,0
806,1,166,0
807,1,169,0
808,1,181,0
809,1,182,0
810,1,195,0
811,1,99,1
812,1,115,1
813,1,117,1
814,1,126,1
815,1,147,1
816,1,149,1
817,1,166,1
818,1,169,1
819,1,181,1
820,1,182,1
821,1,195,1
822,1,198,1
823,1,199,1
824,1,215,1
825,1,217,1
826,1,226,1
827,1,247,1
828,1,249,1
829,1,266,1
830,1,269,1
831,1,281,1
832,1,282,1
833,1,295,1
834,1,298,1
835,1,299,1
836,1,315,1
837,1,317,1
838,1,326,1
839,1,347,1
840,1,349,1
841,1,366,1
842,1,369,1
843,1,381,1
844,1,382,1
845,1,395,1
846,1,398,1
847,1,99,2
848,1,115,2
849,1,117,2
850,1,126,2
851,1,147,2
852,1,149,2
853,1,166,2
854,1,169,2
855,1,181,2
856,1,195,2
857,1,199,2
858,1,215,2
859,1,217,2
860,1,226,2
861,1,247,2
862,1,249,2
863,1,266,2
864,1,269,2
865,1,281,2
866,1,282,2
867,1,295,2
868,1,299,2
869,1,315,2
870,1,317,2
871,1,326,2
872,1,347,2
873,1,349,2
874,1,366,2
875,1,369,2
876,1,381,2
877,1,382,2
878,1,395,2
879,1,-1,3
880,1,15,3
881,1,17,3
882,1,26,3
883,1,31,3
884,1,47,3
885,1,49,3
886,1,66,3
887,1,69,3
888,1,81,3
889,1,95,3
890,1,199,3
891,1,215,3
892,1,217,3
893,1,226,3
894,1,231,3
895,1,247,3
896,1,249,3
897,1,266,3
898,1,269,3
899,1,281,3
900,1,295,3
901,1,299,3
902,1,315,3
903,1,317,3
904,1,326,3
905,1,347,3
906,1,349,3
907,1,366,3
908,1,369,3
909,1,381,3
910,1,395,3
911,1,-1,4
912,1,15,4
913,1,17,4
914,1,26,4
915,1,47,4
916,1,49,4
917,1,66,4
918,1,69,4
919,1,81,4
920,1,82,4
921,1,95,4
922,1,96,4
923,1,99,4
924,1,117,4
925,1,126,4
926,1,147,4
927,1,149,4
928,1,166,4
929,1,169,4
930,1,181,4
931,1,182,4
932,1,195,4
933,1,196,4
934,1,-1,5
935,1,15,5
936,1,17,5
937,1,26,5
938,1,47,5
939,1,49,5
940,1,66,5
941,1,69,5
942,1,81,5
943,1,82,5
944,1,95,5
945,1,99,5
946,1,115,5
947,1,117,5
948,1,126,5
949,1,147,5
950,1,149,5
951,1,166,5
952,1,169,5
953,1,181,5
954,1,182,5
955,1,195,5
956,1,199,5
957,1,215,5
958,1,217,5
959,1,226,5
960,1,247,5
961,1,249,5
962,1,266,5
963,1,269,5
964,1,281,5
965,1,282,5
966,1,295,5
967,1,-1,6
968,1,15,6
969,1,26,6
970,1,47,6
971,1,49,6
972,1,66,6
973,1,69,6
974,1,81,6
975,1,82,6
976,1,99,6
977,1,115,6
978,1,126,6
979,1,147,6
980,1,149,6
981,1,166,6
982,1,169,6
983,1,181,6
984,1,182,6
985,1,199,6
986,1,215,6
987,1,226,6
988,1,249,6
989,1,266,6
990,1,269,6
991,1,281,6
992,1,282,6
993,1,299,6
994,1,315,6
995,1,317,6
996,1,326,6
997,1,347,6
998,1,349,6
999,1,366,6
1000,1,369,6
1001,1,381,6
1002,1,382,6
1003,1,394,6
1004,1,-1,7
1005,1,15,7
1006,1,17,7
1007,1,26,7
1008,1,47,7
1009,1,49,7
1010,1,66,7
1011,1,69,7
1012,1,81,7
1013,1,95,7
1014,1,99,7
1015,1,115,7
1016,1,117,7
1017,1,126,7
1018,1,147,7
1019,1,149,7
1020,1,166,7
1021,1,169,7
1022,1,181,7
1023,1,195,7
1024,1,199,7
1025,1,215,7
1026,1,217,7
1027,1,226,7
1028,1,247,7
1029,1,249,7
1030,1,266,7
1031,1,269,7
1032,1,281,7
1033,1,295,7
1034,1,299,7
1035,1,315,7
1036,1,317,7
1037,1,326,7
1038,1,347,7
1039,1,349,7
1040,1,366,7
1041,1,369,7
1042,1,381,7
1043,1,395,7
1044,1,-1,8
1045,1,15,8
1046,1,17,8
1047,1,26,8
1048,1,47,8
1049,1,49,8
1050,1,66,8
1051,1,69,8
1052,1,81,8
1053,1,82,8
1054,1,95,8
1055,1,99,8
1056,1,115,8
1057,1,117,8
1058,1,126,8
1059,1,147,8
1060,1,149,8
1061,1,166,8
1062,1,169,8
1063,1,181,8
1064,1,182,8
1065,1,195,8
1066,1,199,8
1067,1,215,8
1068,1,217,8
1069,1,226,8
1070,1,247,8
1071,1,249,8
1072,1,266,8
1073,1,269,8
1074,1,281,8
1075,1,282,8
1076,1,295,8
1077,1,299,8
1078,1,315,8
1079,1,317,8
1080,1,326,8
1081,1,347,8
1082,1,349,8
1083,1,366,8
1084,1,369,8
1085,1,381,8
1086,1,382,8
1087,1,395,8
1088,1,-1,9
1089,1,15,9
1090,1,17,9
1091,1,26,9
1092,1,47,9
1093,1,49,9
1094,1,66,9
1095,1,69,9
1096,1,81,9
1097,1,82,9
1098,1,95,9
1099,1,299,9
1100,1,315,9
1101,1,317,9
1102,1,326,9
1103,1,347,9
1104,1,349,9
1105,1,366,9
1106,1,369,9
1107,1,381,9
1108,1,382,9
1109,1,395,9
1110,2,14,0
1111,2,33,0
1112,2,42,0
1113,2,45,0
1114,2,47,0
1115,2,58,0
1116,2,60,0
1117,2,67,0
1118,2,83,0
1119,2,86,0
1120,2,114,0
1121,2,133,0
1122,2,142,0
1123,2,145,0
1124,2,147,0
1125,2,158,0
1126,2,160,0
1127,2,167,0
1128,2,172,0
1129,2,183,0
1130,2,186,0
1131,2,114,1
1132,2,133,1
1133,2,142,1
1134,2,145,1
1135,2,147,1
1136,2,158,1
1137,2,160,1
1138,2,167,1
1139,2,183,1
1140,2,186,1
1141,2,214,1
1142,2,233,1
1143,2,242,1
1144,2,245,1
1145,2,247,1
1146,2,258,1
1147,2,260,1
1148,2,267,1
1149,2,283,1
1150,2,286,1
1151,2,290,1
1152,2,314,1
1153,2,328,1
1154,2,333,1
1155,2,342,1
1156,2,345,1
1157,2,347,1
1158,2,358,1
1159,2,360,1
1160,2,367,1
1161,2,369,1
1162,2,383,1
1163,2,386,1
1164,2,114,2
1165,2,126,2
1166,2,133,2
1167,2,142,2
1168,2,145,2
1169,2,147,2
1170,2,152,2
1171,2,160,2
1172,2,167,2
1173,2,183,2
1174,2,186,2
1175,2,214,2
1176,2,226,2
1177,2,242,2
1178,2,245,2
1179,2,247,2
1180,2,252,2
1181,2,260,2
1182,2,267,2
1183,2,283,2
1184,2,286,2
1185,2,314,2
1186,2,326,2
1187,2,333,2
1188,2,342,2
1189,2,345,2
1190,2,347,2
1191,2,360,2
1192,2,367,2
1193,2,383,2
1194,2,386,2
1195,2,0,3
1196,2,33,3
1197,2,42,3
1198,2,45,3
1199,2,47,3
1200,2,58,3
1201,2,60,3
1202,2,67,3
1203,2,83,3
1204,2,86,3
1205,2,200,3
1206,2,231,3
1207,2,233,3
1208,2,242,3
1209,2,245,3
1210,2,247,3
1211,2,258,3
1212,2,260,3
1213,2,267,3
1214,2,283,3
1215,2,286,3
1216,2,290,3
1217,2,300,3
1218,2,333,3
1219,2,342,3
1220,2,345,3
1221,2,347,3
1222,2,358,3
1223,2,360,3
1224,2,367,3
1225,2,383,3
1226,2,386,3
1227,2,14,4
1228,2,33,4
1229,2,40,4
1230,2,45,4
1231,2,47,4
1232,2,58,4
1233,2,60,4
1234,2,67,4
1235,2,83,4
1236,2,86,4
1237,2,114,4
1238,2,120,4
1239,2,133,4
1240,2,140,4
1241,2,145,4
1242,2,147,4
1243,2,158,4
1244,2,160,4
1245,2,167,4
1246,2,183,4
1247,2,186,4
1248,2,14,5
1249,2,33,5
1250,2,42,5
1251,2,45,5
1252,2,47,5
1253,2,58,5
1254,2,60,5
1255,2,67,5
1256,2,83,5
1257,2,86,5
1258,2,114,5
1259,2,133,5
1260,2,142,5
1261,2,145,5
1262,2,147,5
1263,2,158,5
1264,2,160,5
1265,2,167,5
1266,2,183,5
1267,2,186,5
1268,2,233,5
1269,2,242,5
1270,2,245,5
1271,2,247,5
1272,2,258,5
1273,2,260,5
1274,2,267,5
1275,2,283,5
1276,2,286,5
1277,2,14,6
1278,2,33,6
1279,2,42,6
1280,2,45,6
1281,2,47,6
1282,2,58,6
1283,2,60,6
1284,2,67,6
1285,2,81,6
1286,2,83,6
1287,2,86,6
1288,2,114,6
1289,2,133,6
1290,2,142,6
1291,2,145,6
1292,2,147,6
1293,2,158,6
1294,2,160,6
1295,2,167,6
1296,2,181,6
1297,2,183,6
1298,2,186,6
1299,2,214,6
1300,2,233,6
1301,2,242,6
1302,2,245,6
1303,2,247,6
1304,2,255,6
1305,2,258,6
1306,2,260,6
1307,2,267,6
1308,2,281,6
1309,2,283,6
1310,2,286,6
1311,2,314,6
1312,2,333,6
1313,2,342,6
1314,2,345,6
1315,2,347,6
1316,2,358,6
1317,2,360,6
1318,2,367,6
1319,2,381,6
1320,2,383,6
1321,2,386,6
1322,2,12,7
1323,2,14,7
1324,2,33,7
1325,2,42,7
1326,2,45,7
1327,2,47,7
1328,2,58,7
1329,2,60,7
1330,2,67,7
1331,2,83,7
1332,2,86,7
1333,2,112,7
1334,2,114,7
1335,2,133,7
1336,2,142,7
1337,2,145,7
1338,2,147,7
1339,2,158,7
1340,2,160,7
1341,2,167,7
1342,2,183,7
1343,2,186,7
1344,2,212,7
1345,2,214,7
1346,2,233,7
1347,2,242,7
1348,2,245,7
1349,2,247,7
1350,2,258,7
1351,2,260,7
1352,2,267,7
1353,2,283,7
1354,2,286,7
1355,2,312,7
1356,2,314,7
1357,2,333,7
1358,2,342,7
1359,2,345,7
1360,2,358,7
1361,2,360,7
1362,2,367,7
1363,2,383,7
1364,2,386,7
1365,2,14,8
1366,2,33,8
1367,2,42,8
1368,2,45,8
1369,2,47,8
1370,2,58,8
1371,2,60,8
1372,2,67,8
1373,2,83,8
1374,2,86,8
1375,2,114,8
1376,2,133,8
1377,2,142,8
1378,2,145,8
1379,2,147,8
1380,2,158,8
1381,2,160,8
1382,2,167,8
1383,2,183,8
1384,2,186,8
1385,2,214,8
1386,2,233,8
1387,2,242,8
1388,2,245,8
1389,2,247,8
1390,2,258,8
1391,2,260,8
1392,2,283,8
1393,2,286,8
1394,2,314,8
1395,2,333,8
1396,2,342,8
1397,2,345,8
1398,2,347,8
1399,2,358,8
1400,2,360,8
1401,2,367,8
1402,2,383,8
1403,2,386,8
1404,2,14,9
1405,2,27,9
1406,2,33,9
1407,2,42,9
1408,2,45,9
1409,2,58,9
1410,2,60,9
1411,2,67,9
1412,2,83,9
1413,2,86,9
1414,2,314,9
1415,2,327,9
1416,2,333,9
1417,2,342,9
1418,2,345,9
1419,2,358,9
1420,2,360,9
1421,2,367,9
1422,2,383,9
1423,2,386,9
1424,3,20,0
1425,3,24,0
1426,3,25,0
1427,3,28,0
1428,3,39,0
1429,3,88,0
1430,3,90,0
1431,3,92,0
1432,3,120,0
1433,3,124,0
1434,3,125,0
1435,3,128,0
1436,3,139,0
1437,3,188,0
1438,3,190,0
1439,3,192,0
1440,3,120,1
1441,3,124,1
1442,3,125,1
1443,3,128,1
1444,3,139,1
1445,3,188,1
1446,3,190,1
1447,3,192,1
1448,3,220,1
1449,3,224,1
1450,3,228,1
1451,3,239,1
1452,3,288,1
1453,3,290,1
1454,3,292,1
1455,3,309,1
1456,3,320,1
1457,3,324,1
1458,3,325,1
1459,3,328,1
1460,3,339,1
1461,3,388,1
1462,3,390,1
1463,3,120,2
1464,3,124,2
1465,3,125,2
1466,3,128,2
1467,3,139,2
1468,3,188,2
1469,3,190,2
1470,3,192,2
1471,3,220,2
1472,3,224,2
1473,3,225,2
1474,3,228,2
1475,3,239,2
1476,3,288,2
1477,3,290,2
1478,3,292,2
1479,3,320,2
1480,3,324,2
1481,3,325,2
1482,3,328,2
1483,3,339,2
1484,3,388,2
1485,3,390,2
1486,3,392,2
1487,3,20,3
1488,3,24,3
1489,3,25,3
1490,3,28,3
1491,3,39,3
1492,3,88,3
1493,3,90,3
1494,3,220,3
1495,3,224,3
1496,3,225,3
1497,3,228,3
1498,3,239,3
1499,3,288,3
1500,3,290,3
1501,3,320,3
1502,3,324,3
1503,3,325,3
1504,3,328,3
1505,3,339,3
1506,3,383,3
1507,3,388,3
1508,3,390,3
1509,3,20,4
1510,3,25,4
1511,3,28,4
1512,3,39,4
1513,3,74,4
1514,3,87,4
1515,3,88,4
1516,3,90,4
1517,3,92,4
1518,3,120,4
1519,3,125,4
1520,3,128,4
1521,3,139,4
1522,3,174,4
1523,3,187,4
1524,3,188,4
1525,3,190,4
1526,3,192,4
1527,3,20,5
1528,3,24,5
1529,3,25,5
1530,3,28,5
1531,3,39,5
1532,3,88,5
1533,3,90,5
1534,3,92,5
1535,3,120,5
1536,3,124,5
1537,3,125,5
1538,3,128,5
1539,3,139,5
1540,3,188,5
1541,3,192,5
1542,3,220,5
1543,3,224,5
1544,3,225,5
1545,3,228,5
1546,3,239,5
1547,3,288,5
1548,3,290,5
1549,3,292,5
1550,3,1,6
1551,3,20,6
1552,3,24,6
1553,3,25,6
1554,3,28,6
1555,3,39,6
1556,3,52,6
1557,3,88,6
1558,3,90,6
1559,3,92,6
1560,3,101,6
1561,3,120,6
1562,3,124,6
1563,3,125,6
1564,3,128,6
1565,3,139,6
1566,3,152,6
1567,3,188,6
1568,3,190,6
1569,3,192,6
1570,3,201,6
1571,3,220,6
1572,3,224,6
1573,3,225,6
1574,3,228,6
1575,3,239,6
1576,3,252,6
1577,3,288,6
1578,3,290,6
1579,3,292,6
1580,3,301,6
1581,3,320,6
1582,3,324,6
1583,3,325,6
1584,3,328,6
1585,3,339,6
1586,3,352,6
1587,3,388,6
1588,3,390,6
1589,3,392,6
1590,3,24,7
1591,3,25,7
1592,3,28,7
1593,3,39,7
1594,3,88,7
1595,3,90,7
1596,3,92,7
1597,3,124,7
1598,3,125,7
1599,3,128,7
1600,3,139,7
1601,3,188,7
1602,3,190,7
1603,3,192,7
1604,3,224,7
1605,3,225,7
1606,3,228,7
1607,3,239,7
1608,3,288,7
1609,3,290,7
1610,3,292,7
1611,3,324,7
1612,3,325,7
